aname,bname
百日咳,肺不张
苯中毒,贫血
大量羊水吸入,呼吸衰竭
大叶性肺炎,脓胸
二硫化碳中毒,昏迷
肺出血－肾炎综合征,便血
肺泡蛋白沉着症,呼吸衰竭
肺念珠菌病,菌血症
肺炎球菌肺炎,败血症
肺气肿,呼吸衰竭
肺炎杆菌肺炎,脑疝
肺脓肿,气胸
非典,败血症
肺转移瘤,心律失常
肺炎性假瘤,咯血
肺隐球菌病,脑膜炎
肺癌,心律失常
肺癌,呼吸衰竭
肺癌,脓胸
肺癌,心力衰竭
肺癌,血胸
肺癌,肺不张
感染性休克,急性呼吸窘迫综合征
感染性休克,脑水肿
Goodpasture综合征,便血
汞中毒,肾功能衰竭
呼吸性细支气管相关的间质性肺疾病,气胸
呼吸衰竭,休克
军团病,呼吸衰竭
军团病,休克
军团病,腹膜炎
军团病,脑水肿
急性呼吸窘迫综合征,气胸
军团菌病,呼吸衰竭
军团菌病,肾功能衰竭
金黄色葡萄球菌肺炎,脓胸
咖啡因与氨茶碱中毒,休克
卡氏肺囊虫肺炎,急性呼吸窘迫综合征
咯血,休克
硫化氢中毒,昏迷
硫化氢中毒,谵妄
硫化氢中毒,头痛
硫化氢中毒,意识障碍
硫化氢中毒,心绞痛
硫化氢中毒,共济失调
硫化氢中毒,急性呼吸窘迫综合征
老年肺炎,呼吸衰竭
老年肺炎,心力衰竭
流行性感冒,昏迷
流行性感冒,心律失常
流行性感冒,肝大
镍中毒,咳嗽
球孢子菌病,胸腔积液
气管先天性疾病,气胸
乳酸性酸中毒,昏迷
手术后和创伤后肺炎,脓胸
鼾症,心律失常
脱屑性间质性肺炎,气胸
特发性含铁血黄素沉着症,缺铁性贫血
吸入性损伤,败血症
小儿金黄色葡萄球菌肺炎,败血症
矽肺,咯血
新生儿窒息,气胸
哮喘,气胸
小儿哮喘,呼吸衰竭
小儿肺炎,昏迷
小儿肺炎,呼吸衰竭
先天性肺囊肿,气胸
休克型肺炎,脑水肿
吸入性肺炎,呼吸衰竭
吸入性肺炎,肺不张
吸入性肺炎,急性呼吸窘迫综合征
细菌性肺炎,脑膜炎
胸壁结核,气胸
乙醚中毒,血尿
淹溺,心律失常
淹溺,心力衰竭
淹溺,溶血性贫血
羊水与胎粪吸入综合征,气胸
羊水与胎粪吸入综合征,颅内出血
一氧化碳中毒,脑水肿
阻塞性肺气肿,呼吸衰竭
支气管扩张,脓胸
支气管肺炎,呼吸衰竭
支气管肺炎,心包炎
支气管肺炎,肺不张
变应性血管炎,便血
病态窦房结综合征,休克
穿透性心脏外伤,腹水
动脉硬化,心律失常
动脉导管未闭,乳糜胸
窦性心动过速,心力衰竭
二尖瓣关闭不全,心力衰竭
肺性脑病,腹泻
肥厚型梗阻性心肌病,猝死
法洛四联症,脑脓肿
房室传导阻滞,心律失常
肺动静脉瘘,血胸
冠状动脉终止异常,心律失常
冠状动脉终止异常,心包积液
冠状动脉终止异常,脑脓肿
冠状动脉异位起源,心力衰竭
感染性心内膜炎,心律失常
冠心病,猝死
后天性三尖瓣关闭不全,肺栓塞
急性心肌梗死,心律失常
急性心肌梗死,心力衰竭
酒精性心肌病,心律失常
酒精性心肌病,酒精性肝硬化
酒精性心肌病,营养不良
急性心力衰竭,肺栓塞
扩张型心肌病,心律失常
扩张型心肌病,胸腔积液
扩张型心肌病,心力衰竭
扩张型心肌病,猝死
扩张型心肌病,腹水
克山病,心律失常
克山病,低钾血症
雷诺病,败血症
慢性肺源性心脏病,心律失常
慢性肺源性心脏病,呼吸衰竭
慢性肺源性心脏病,休克
慢性肺源性心脏病,心力衰竭
慢性肺源性心脏病,上消化道出血
缺血性心肌病,休克
三尖瓣关闭不全,腹水
三尖瓣闭锁,心律失常
完全性肺静脉异位回流,营养不良
完全性大动脉错位,呼吸衰竭
完全性大动脉错位,心力衰竭
休克,心力衰竭
新生儿缺氧缺血性脑病,脑积水
新生儿硬肿症,代谢性酸中毒
先天性风疹,肾病综合征
先天性风疹,贫血
先天性风疹,血小板减少性紫癜
胸降主动脉动脉瘤,咯血
胸主动脉夹层动脉瘤,昏迷
心绞痛,心力衰竭
心肌梗塞并发心室间隔穿破,咯血
心肌梗塞并发二尖瓣关闭不全,败血症
心肌梗死,心律失常
心肌梗死,休克
心肌梗死,心力衰竭
心肌梗死,心包炎
小儿高血压,心绞痛
小儿充血性心力衰竭,早搏
心肌梗塞并发左心室室壁瘤,肺栓塞
先天性主动脉缩窄,动脉导管未闭
先天性主动脉瓣下狭窄,猝死
先天性动脉导管未闭,乳糜胸
先天性动静脉瘘,肺栓塞
心包积液,心力衰竭
心肌病,心律失常
心肌病,猝死
先天性主动脉瓣窦动脉瘤破裂,动脉导管未闭
心包肿瘤,低血压
胸腔积液,心力衰竭
羊水过多,胎盘早剥
原发性下肢静脉瓣膜关闭不全,静脉曲张
亚急性感染性心内膜炎,心律失常
乙状窦血栓性静脉炎,脑膜炎
左心发育不良,休克
自发性血胸,休克
阵发性室上性心动过速,晕厥
早搏,休克
阵发性室性心动过速,心力衰竭
阵发性室性心动过速,猝死
阵发性室性心动过速,心肌梗死
中暑衰竭,休克
阿米巴肝脓肿,心包炎
氨基甲酸酯类农药中毒,昏迷
阿片类药物中毒,休克
半乳糖血症,腹水
暴发性肝功能衰竭,低血糖症
布卡综合症,腹水
吡唑酮类中毒,腹泻
变形杆菌食物中毒,休克
蓖麻子中毒,心力衰竭
铋中毒,腹泻
肠系膜上动脉压迫综合征,营养不良
粗制棉子油中毒,呼吸衰竭
肠套叠,休克
残胃癌,贫血
肠梗阻,腹痛
苍耳中毒,呼吸衰竭
肠道病毒所致各系统感染,脑膜炎
肠系膜上动脉栓塞,休克
餐后血糖过低症,意识障碍
肠结核,肠套叠
胆道张力低下综合征,消化不良
胆囊-结肠肝曲粘连综合征,消化不良
大肠息肉,贫血
胆汁性肝硬化,肝肾综合征
大肠类癌,结肠息肉
毒蕈中毒,呼吸衰竭
大肠癌,贫血
大肠恶性淋巴瘤,腹水
儿童腹痛,休克
非溃疡消化不良,肠易激综合征
粪类圆线虫病,脱水
腹绞痛综合征,贫血
腹膜后感染与脓肿,肾脓肿
腹卒中综合征,休克
Felty综合征,淀粉样变性
腹痛,休克
腹膜炎,脱水
腹泻,营养不良
沙门氏菌属食物中毒,败血症
福尔马林中毒,休克
发芽马铃薯中毒,呼吸衰竭
副溶血性弧菌食物中毒,休克
非寄生虫性肝囊肿,腹痛
非霍乱弧菌感染,休克
肝纤维化,胆汁性肝硬化
肝肺综合症,腹水
功能性呕吐,心肌梗死
肝性脊髓病,休克
肝性脊髓病,腹水
肝脓肿,脓肿
肝外胆管损伤,休克
肝损伤,休克
肝囊肿,脾大
膈下脓肿,贫血
肛管、直肠、结肠狭窄,便秘
膈扑动,猝死
含亚硝酸盐类植物性食物中毒,昏迷
化脓性汗腺炎,脓肿
回盲瓣综合征,腹泻
活动盲肠综合征,腹泻
蛔虫病,昏迷
蛔虫病,败血症
蛔虫病,失眠
蛔虫病,腹膜炎
