aname,bname
单纯性下肢静脉曲张,血管杂音
小儿高血压,血管杂音
先天性主动脉缩窄,血管杂音
先天性动静脉瘘,血管杂音
原发性下肢静脉瓣膜关闭不全,血管杂音
肠道病毒所致各系统感染,脑膜刺激征
高锰酸钾中毒,闭目难立征
网膜囊肿,移动性浊音
新生儿胆红素脑病,脑膜刺激征
自发性食管破裂,血管杂音
膀胱炎,尿隐血
肾硬化症,血管杂音
肾血管性高血压,血管杂音
安眠药中毒,脑膜刺激征
昏迷,脑膜刺激征
急性中毒性脑炎,脑膜刺激征
神经梅毒,脑膜刺激征
小儿结核性脑膜炎,脑膜刺激征
遗传性共济失调,闭目难立征
自身免疫性溶血性贫血,尿隐血
阵发性睡眠性血红蛋白尿,尿隐血
胸廓出口综合征,血管杂音
第四脑室肿瘤,脑膜刺激征
脑蛛网膜下腔出血,脑膜刺激征
蛛网膜下腔出血,脑膜刺激征
淋巴水肿,血管杂音
维生素B6依赖综合征,脑膜刺激征
特发性葡萄膜大脑炎,脑膜刺激征
共济失调型脑瘫,闭目难立征
丝虫病,乳糜尿
垂体卒中,脑膜刺激征
卵巢黏液性肿瘤,移动性浊音
妊娠合并肠梗阻,移动性浊音
下肢交通静脉瓣膜关闭不全,血管杂音
小儿阿托品类中毒,脑膜刺激征
遗忘综合征,脑膜刺激征
小儿急性偏瘫,脑膜刺激征
脊髓小脑性共济失调,闭目难立征
脑栓塞,脑膜刺激征
甲状旁腺功能亢进,尿磷
腹主动脉瘤,腹部血管杂音
腹主动脉腔静脉瘘,血管杂音
腹主动脉缩窄,腹部血管杂音
小儿醛固酮过多症,血管杂音
颚口线虫病,脑膜刺激征
小脑脑桥角脑膜瘤,闭目难立征
甲状旁腺功能减退症,尿磷
新型隐球菌性脑膜炎,脑膜刺激征
烟雾病,脑膜刺激征
老年人单纯疱疹病毒性脑炎,脑膜刺激征
老年人脑出血,脑膜刺激征
直接型颈动脉海绵窦瘘,血管杂音
假性动脉瘤,血管杂音
脑膜炎球菌性脑膜炎,脑膜刺激征
单纯疱疹性脑炎,脑膜刺激征
腔隙性脑梗死,脑膜刺激征
肾动脉狭窄,腹部血管杂音
