aname,bname
胸主动脉夹层动脉瘤,血管杂音
主动脉瘤,血管杂音
肠系膜上动脉栓塞,移动性浊音
急性腹膜炎,移动性浊音
结肠损伤,移动性浊音
胃损伤,移动性浊音
慢性肾盂肾炎,尿隐血
肾血管性高血压,腹部血管杂音
耳源性脑脓肿,脑膜刺激征
脊髓血管病,脑膜刺激征
急性中毒性脑炎,脑膜刺激征
Graves病,血管杂音
巨人症及肢端肥大症,尿磷
维生素K缺乏病,脑膜刺激征
动脉硬化性闭塞症,血管杂音
胸廓出口综合征,血管杂音
脑囊虫病,脑膜刺激征
溃疡病急性穿孔,移动性浊音
穿腹膜疝,移动性浊音
脊髓灰质炎,脑膜刺激征
开放性脑外伤,脑膜刺激征
弓形虫病,脑膜刺激征
金黄色葡萄球菌脑膜炎,脑膜刺激征
小儿哮喘性肌萎缩综合征,脑膜刺激征
肾动脉瘤,血管杂音
巨人症与肢端肥大症,尿磷
出血性脑梗死,脑膜刺激征
前列腺结石,尿隐血
卵巢巧克力囊肿破裂,移动性浊音
先天性肺动静脉瘘,血管杂音
小儿大动脉炎,血管杂音
小儿腓骨肌萎缩症,闭目难立征
小儿肺栓塞,血管杂音
小儿肺炎链球菌脑膜炎,脑膜刺激征
碘源性甲亢,血管杂音
小儿急性播散性脑脊髓炎,脑膜刺激征
淋巴管平滑肌瘤,乳糜尿
小儿急性中毒性脑病,脑膜刺激征
小儿家族性低血磷性佝偻病,尿磷
颈动脉盗血综合征,血管杂音
小儿蓝尿布综合征,尿磷
急性脑血管病,血管杂音
小儿利斯特菌病,脑膜刺激征
小儿颅内出血,脑膜刺激征
小儿颅脑损伤,脑膜刺激征
小儿霉甘蔗中毒,闭目难立征
小儿脑脓肿,脑膜刺激征
小儿脑血管畸形,脑膜刺激征
腹主动脉腔静脉瘘,腹部血管杂音
小儿全远端型肾小管酸中毒,尿磷
腹主动脉缩窄,血管杂音
小肠破裂,移动性浊音
小儿嗜血性流行性感冒杆菌脑膜炎,脑膜刺激征
小儿髓母细胞瘤,闭目难立征
骨血管肉瘤,血管杂音
小儿无菌性脑膜炎综合征,脑膜刺激征
合并马蹄肾的腹主动脉瘤,血管杂音
小儿纤维性骨营养不良综合征,尿磷
小儿限制型心肌病,移动性浊音
小儿血管瘤,血管杂音
小儿烟雾病,脑膜刺激征
小儿遗传性共济失调,闭目难立征
小儿原发性腹膜炎,移动性浊音
家族性高胆固醇血症,血管杂音
家族性抗维生素D佝偻病,尿磷
急性横贯性脊髓炎,脑膜刺激征
急性化脓性脑膜炎,脑膜刺激征
结肠破裂,移动性浊音
新生儿先天性胆道闭锁,移动性浊音
新型隐球菌性脑膜炎,脑膜刺激征
颅底凹陷症,闭目难立征
颈动脉狭窄,血管杂音
乳糜腹,移动性浊音
疼痛性眼肌麻痹,脑膜刺激征
脑炎,脑膜刺激征
老年人单纯疱疹病毒性脑炎,脑膜刺激征
先天性胃壁肌层缺损,移动性浊音
老年人结核性脑膜炎,脑膜刺激征
硬脑膜动静脉畸形,血管杂音
老年人神经梅毒,脑膜刺激征
进行性肥厚性间质性神经炎,闭目难立征
淋巴细胞性脉络丛脑膜炎,脑膜刺激征
胆汁性腹膜炎,移动性浊音
急性胆源性胰腺炎,移动性浊音
卵巢黄体囊肿破裂,移动性浊音
卵巢肿瘤破裂,移动性浊音
毛细血管扩张性共济失调综合征,闭目难立征
鼓胀,移动性浊音
假性动脉瘤,血管杂音
脑猪囊尾蚴病,脑膜刺激征
脑干肿瘤,闭目难立征
脑膜癌病,脑膜刺激征
淋巴丝虫病,乳糜尿
躯体感染伴发的精神障碍,脑膜刺激征
自主性高功能性甲状腺腺瘤,血管杂音
脊髓梅毒,闭目难立征
肾动静脉瘘,血管杂音
肾动脉狭窄,腹部血管杂音
肾血管畸形与压迫,腹部血管杂音
输卵管结核,移动性浊音
四川并殖吸虫病,脑膜刺激征
