aname,bname
喘息样支气管炎,化学性支气管炎
大楼病综合征,紧张性头痛
二硫化碳中毒,多发性神经炎
二硫化碳中毒,昏迷
二硫化碳中毒,谵妄
肺-胸膜阿米巴病,腹泻
肺出血－肾炎综合征,咯血
肺出血－肾炎综合征,蛋白尿
肺放线菌病,咯血
肺放线菌病,骨膜炎
放射性肺炎,肺纤维化
肺栓塞,咯血
肺栓塞,心律失常
肺栓塞,大咯血
肺炎,咳嗽
肺炎性假瘤,咯血
镉中毒,腹泻
镉中毒,消化不良
感冒,头痛
感染性休克,低血压
过敏性休克,意识障碍
过敏性休克,晕厥
过敏性休克,低血压
Goodpasture综合征,咯血
Goodpasture综合征,血尿
Goodpasture综合征,蛋白尿
汞中毒,腹痛
汞中毒,腹泻
呼吸道异物,吞咽困难
呼吸性细支气管相关的间质性肺疾病,呼吸衰竭
呼吸性细支气管相关的间质性肺疾病,咯血
呼吸性细支气管相关的间质性肺疾病,肺纤维化
呼吸衰竭,意识障碍
呼吸衰竭,呼吸衰竭
急性呼吸衰竭,呼吸衰竭
急性呼吸衰竭,呼吸性碱中毒
军团病,呼吸衰竭
军团病,休克
急性呼吸窘迫综合征,呼吸衰竭
急性呼吸窘迫综合征,昏迷
急性呼吸窘迫综合征,呼吸性碱中毒
军团菌病,腹泻
军团菌病,眩晕
结核性脓胸,咯血
结核性脓胸,胸腔积液
金黄色葡萄球菌肺炎,休克
金黄色葡萄球菌肺炎,胸腔积液
金黄色葡萄球菌肺炎,脓肿
金黄色葡萄球菌肺炎,脓胸
咖啡因与氨茶碱中毒,腹痛
咖啡因与氨茶碱中毒,昏迷
咖啡因与氨茶碱中毒,耳鸣
咖啡因与氨茶碱中毒,谵妄
卡氏肺囊虫肺炎,气胸
卡氏肺囊虫肺炎,腹泻
咯血,咯血
硫化氢中毒,昏迷
硫化氢中毒,结膜充血
老年肺炎,腹痛
老年肺炎,腹泻
免疫缺陷者肺炎,肺栓塞
镍中毒,疱疹
铍中毒,疱疹
缺血缺氧性脑病,新生儿反应低下
球孢子菌病,慢性咳嗽
禽流感,休克
禽流感,腹痛
禽流感,腹泻
禽流感,咳嗽
气管肿瘤,吞咽困难
气管肿瘤,咳嗽
气管先天性疾病,新生儿喉喘鸣
乳酸性酸中毒,休克
乳酸性酸中毒,腹痛
乳酸性酸中毒,昏迷
鼾症,心律失常
特发性肺纤维化,呼吸衰竭
脱屑性间质性肺炎,心力衰竭
特发性含铁血黄素沉着症,咯血
外源性过敏性肺泡炎,呼吸衰竭
小儿结核病,咯血
小儿结核病,疱疹
小儿结核病,淋巴结结核
新生儿呼吸窘迫综合征,新生儿青紫
小儿金黄色葡萄球菌肺炎,腹泻
小儿金黄色葡萄球菌肺炎,脓胸
小儿急性支气管炎,腹痛
小儿急性支气管炎,腹泻
小儿急性支气管炎,细菌感染
矽肺,肺纤维化
新生儿窒息,心律失常
新生儿窒息,新生儿青紫
小儿支原体肺炎,胸腔积液
小儿支原体肺炎,心包炎
哮喘,咳嗽
哮喘,痰饮
新生儿呼吸暂停,败血症
新生儿呼吸暂停,猝死
先天性肺囊肿,呼吸衰竭
先天性肺囊肿,咯血
休克型肺炎,休克
休克型肺炎,昏迷
吸入性肺炎,呼吸衰竭
吸入性肺炎,代谢性酸中毒
腺病毒肺炎,腹泻
细菌性肺炎,咯血
细菌性肺炎,休克
新生儿湿肺,胸腔积液
胸壁结核,脓肿
乙醚中毒,腹痛
乙醚中毒,腹泻
乙醚中毒,体温过低
淹溺,呼吸衰竭
淹溺,昏迷
淹溺,结膜充血
一氧化碳中毒,昏迷
支气管扩张,大咯血
支气管肺炎,胸腔积液
支气管肺炎,心力衰竭
变应性血管炎,腹痛
病态窦房结综合征,心律失常
病态窦房结综合征,心动过缓
病态窦房结综合征,失眠
穿透性心脏外伤,休克
穿透性心脏外伤,心肌缺血
窦性停搏,意识障碍
窦性停搏,晕厥
单心室,心律失常
单心室,心力衰竭
单心房,心力衰竭
动脉硬化,脑干梗塞
动脉硬化,动脉粥样硬化
动脉瘤,静脉曲张
二尖瓣狭窄,心绞痛
二尖瓣狭窄,心包积液
二尖瓣环钙化,心动过缓
肺性脑病,昏迷
肺性脑病,精神障碍
风湿性二尖瓣狭窄,咯血
风湿性二尖瓣关闭不全,咯血
肥厚型梗阻性心肌病,心绞痛
房室管畸形,动脉导管未闭
法洛四联症,心力衰竭
房室传导阻滞,心动过缓
房室传导阻滞,猝死
高血压,神经性呕吐
冠状动脉终止异常,动脉导管未闭
冠状动脉异位起源,心绞痛
冠状动脉异位起源,心力衰竭
冠心病,心律失常
冠心病,心力衰竭
后天性动静脉瘘,静脉曲张
后天性动静脉瘘,心力衰竭
间歇性眼球突出症,上睑下垂
间歇性眼球突出症,眼球内陷
间歇性眼球突出症,结膜充血
间歇性眼球突出症,耳鸣
间歇性眼球突出症,眩晕
酒精性心肌病,心绞痛
酒精性心肌病,心律失常
酒精性心肌病,共济失调
酒精性心肌病,心力衰竭
急性心功能不全,休克
急性心功能不全,心绞痛
急性感染性心内膜炎,咯血
扩张型心肌病,心律失常
扩张型心肌病,心力衰竭
克山病,腹痛
慢性肺源性心脏病,呼吸衰竭
慢性肺源性心脏病,心律失常
慢性肺源性心脏病,失眠
