aname,bname
化学性支气管炎,疾病百科
化学性支气管炎,内科
化学性支气管炎,呼吸内科
紧张性头痛,疾病百科
紧张性头痛,内科
紧张性头痛,神经内科
昏迷,疾病百科
昏迷,内科
昏迷,神经内科
谵妄,疾病百科
谵妄,内科
谵妄,神经内科
多发性神经炎,疾病百科
多发性神经炎,内科
多发性神经炎,神经内科
腹泻,疾病百科
腹泻,内科
腹泻,消化内科
咯血,疾病百科
咯血,内科
咯血,呼吸内科
蛋白尿,疾病百科
蛋白尿,内科
蛋白尿,肾内科
骨膜炎,疾病百科
骨膜炎,外科
骨膜炎,骨外科
肺纤维化,疾病百科
肺纤维化,内科
肺纤维化,呼吸内科
心律失常,疾病百科
心律失常,内科
心律失常,心内科
大咯血,疾病百科
大咯血,内科
大咯血,呼吸内科
咳嗽,疾病百科
咳嗽,内科
咳嗽,呼吸内科
消化不良,疾病百科
消化不良,内科
消化不良,消化内科
头痛,疾病百科
头痛,内科
头痛,神经内科
低血压,疾病百科
低血压,内科
低血压,心内科
晕厥,疾病百科
晕厥,内科
晕厥,神经内科
意识障碍,疾病百科
意识障碍,内科
意识障碍,神经内科
血尿,疾病百科
血尿,内科
血尿,肾内科
腹痛,疾病百科
腹痛,内科
腹痛,消化内科
吞咽困难,疾病百科
吞咽困难,内科
吞咽困难,消化内科
呼吸衰竭,疾病百科
呼吸衰竭,内科
呼吸衰竭,呼吸内科
呼吸性碱中毒,疾病百科
呼吸性碱中毒,内科
呼吸性碱中毒,呼吸内科
休克,疾病百科
休克,急诊科
眩晕,疾病百科
眩晕,内科
眩晕,神经内科
胸腔积液,疾病百科
胸腔积液,外科
胸腔积液,心胸外科
脓胸,疾病百科
脓胸,外科
脓胸,普外科
脓肿,疾病百科
脓肿,外科
脓肿,普外科
耳鸣,疾病百科
耳鸣,五官科
耳鸣,耳鼻喉科
气胸,疾病百科
气胸,内科
气胸,呼吸内科
结膜充血,疾病百科
结膜充血,五官科
结膜充血,眼科
肺栓塞,疾病百科
肺栓塞,内科
肺栓塞,呼吸内科
疱疹,疾病百科
疱疹,皮肤性病科
疱疹,皮肤科
新生儿反应低下,疾病百科
新生儿反应低下,儿科
新生儿反应低下,儿科综合
慢性咳嗽,疾病百科
慢性咳嗽,内科
慢性咳嗽,呼吸内科
新生儿喉喘鸣,疾病百科
新生儿喉喘鸣,儿科
新生儿喉喘鸣,儿科综合
心力衰竭,疾病百科
心力衰竭,内科
心力衰竭,心内科
淋巴结结核,疾病百科
淋巴结结核,传染科
新生儿青紫,疾病百科
新生儿青紫,儿科
新生儿青紫,小儿内科
细菌感染,疾病百科
细菌感染,内科
心包炎,疾病百科
心包炎,内科
心包炎,心内科
痰饮,疾病百科
痰饮,中医科
痰饮,中医综合
败血症,疾病百科
败血症,外科
败血症,感染科
猝死,疾病百科
猝死,急诊科
代谢性酸中毒,疾病百科
代谢性酸中毒,其他科室
代谢性酸中毒,其他综合
体温过低,疾病百科
体温过低,急诊科
失眠,疾病百科
失眠,精神科
心动过缓,疾病百科
心动过缓,内科
心动过缓,心内科
心肌缺血,疾病百科
心肌缺血,内科
心肌缺血,心内科
动脉粥样硬化,疾病百科
动脉粥样硬化,内科
动脉粥样硬化,心内科
脑干梗塞,疾病百科
脑干梗塞,内科
脑干梗塞,神经内科
静脉曲张,疾病百科
静脉曲张,外科
静脉曲张,普外科
心包积液,疾病百科
心包积液,内科
心包积液,心内科
心绞痛,疾病百科
心绞痛,内科
心绞痛,心内科
精神障碍,疾病百科
精神障碍,精神科
动脉导管未闭,疾病百科
动脉导管未闭,内科
动脉导管未闭,心内科
神经性呕吐,疾病百科
神经性呕吐,内科
神经性呕吐,消化内科
上睑下垂,疾病百科
上睑下垂,五官科
上睑下垂,眼科
眼球内陷,疾病百科
眼球内陷,五官科
眼球内陷,眼科
共济失调,疾病百科
共济失调,内科
共济失调,神经内科
心肌梗死,疾病百科
心肌梗死,内科
心肌梗死,心内科
三尖瓣狭窄,疾病百科
三尖瓣狭窄,外科
三尖瓣狭窄,心胸外科
硬肿症,疾病百科
硬肿症,内科
硬肿症,风湿免疫科
色素斑,疾病百科
色素斑,中医科
色素斑,中医综合
耳聋,疾病百科
耳聋,五官科
耳聋,耳鼻喉科
肌肉萎缩,疾病百科
肌肉萎缩,内科
肌肉萎缩,神经内科
下颌后缩,疾病百科
下颌后缩,五官科
下颌后缩,口腔科
