aname,bname
化学性支气管炎,胸部透视
化学性支气管炎,纤维支气管镜检查
化学性支气管炎,气道过敏试验
化学性支气管炎,重复呼吸试验
化学性支气管炎,支气管激发试验（BPT）
化学性支气管炎,组胺吸入试验
紧张性头痛,神经系统检查
紧张性头痛,肌电图
紧张性头痛,脑电图检查
紧张性头痛,颅脑CT检查
紧张性头痛,颅脑MRI检查
昏迷,尿常规
昏迷,神经系统检查
昏迷,心电图
昏迷,一氧化碳
昏迷,眼底检查
昏迷,脑膜刺激征
昏迷,血氨
昏迷,CT平扫
谵妄,血常规
谵妄,肾功能检查
谵妄,心电图
谵妄,动脉血气分析
谵妄,血氨
谵妄,脑诱发电位
多发性神经炎,肌电图
多发性神经炎,类风湿因子
多发性神经炎,免疫学检测
多发性神经炎,神经系统细胞学检查
多发性神经炎,共济失调的检查
多发性神经炎,脑脊液肌酸激酶
腹泻,尿常规
腹泻,便常规
腹泻,肛门指检
腹泻,粪便性状
腹泻,小肠镜检查
咯血,胸部CT检查
咯血,支气管镜检查
咯血,血常规
咯血,胸部平片
咯血,心电图
咯血,便常规
蛋白尿,尿常规
蛋白尿,肾功能检查
蛋白尿,眼底检查
蛋白尿,肾脏超声检查
骨膜炎,尿常规
骨膜炎,便常规
骨膜炎,细菌学检验
骨膜炎,四肢的骨和关节平片
骨膜炎,骨关节及软组织CT检查
肺纤维化,肺活检
肺纤维化,肺功能检查
肺纤维化,血清镉（Cd）
肺纤维化,肺顺应性(C)
肺纤维化,膈现象
肺纤维化,上消化道X线钡餐
肺纤维化,功能残气量（FRC）
肺纤维化,比塞征
肺纤维化,脉冲震荡肺功能（IOS）
心律失常,心电图
心律失常,内科检查
心律失常,多普勒超声心动图
心律失常,动态心电图（Holter监测）
心律失常,动态血压监测(ABPM)
大咯血,胸部CT检查
大咯血,支气管镜检查
大咯血,血常规
大咯血,胸部平片
大咯血,心电图
大咯血,便常规
咳嗽,胸部CT检查
咳嗽,胸部平片
咳嗽,纤维支气管镜检查
咳嗽,肺功能检查
咳嗽,心电图
咳嗽,气道过敏试验
咳嗽,胸部疾病体征检查
消化不良,血常规
消化不良,尿常规
消化不良,便常规
消化不良,病毒感染免疫检测
消化不良,胃液显微镜检查
消化不良,放射性核素肾图
头痛,血常规
头痛,神经系统检查
头痛,脑电图检查
头痛,颅脑CT检查
头痛,脑血管造影
头痛,眼底检查
头痛,脑血流图
头痛,颅脑MRI检查
头痛,眼科检查
低血压,血常规
低血压,心电图
低血压,血压
晕厥,血常规
晕厥,心电图
晕厥,脉搏
意识障碍,神经系统检查
意识障碍,心电图
意识障碍,脉搏
意识障碍,颅脑CT检查
意识障碍,颅脑MRI检查
血尿,尿沉渣
腹痛,腹部平片
腹痛,肠镜
腹痛,腹腔穿刺
腹痛,肛门指检
腹痛,膀胱镜
吞咽困难,食管造影
吞咽困难,食管钡餐透视
吞咽困难,胃镜
吞咽困难,食管24hpH监测
吞咽困难,食管压力测定
吞咽困难,饮水通气法
呼吸衰竭,胸部CT检查
呼吸衰竭,胸部平片
呼吸衰竭,肺功能检查
呼吸衰竭,氧分压
呼吸衰竭,通气贮量比
呼吸衰竭,每分钟静息通气量（VE）
呼吸衰竭,气体分布
呼吸衰竭,抗军团菌抗体试验
呼吸衰竭,胶乳凝集抑制试验(LAI)
呼吸衰竭,"二氧化碳分压（PCO2,PCO2）"
呼吸性碱中毒,肾功能检查
呼吸性碱中毒,心电图
呼吸性碱中毒,大生化检查
呼吸性碱中毒,"二氧化碳分压（PCO2,PCO2）"
呼吸性碱中毒,血清氯化物
呼吸性碱中毒,血清氯化物（Cl）
呼吸性碱中毒,实际碳酸氢根
呼吸性碱中毒,尿酸度
休克,血常规
休克,心电图
休克,血氧饱和度
休克,氧分压
休克,血氧含量
休克,脉搏
休克,眼底检查
休克,脉率
休克,皮肤颜色
休克,血浆鱼精蛋白副凝试验（3p试验）
眩晕,神经系统检查
眩晕,电测听
眩晕,前庭功能检查
眩晕,旋转试验
眩晕,鼓膜
眩晕,外耳道
眩晕,瘘管试验
胸腔积液,CT检查
胸腔积液,涂片
胸腔积液,胸部B超
胸腔积液,类风湿因子
胸腔积液,狼疮细胞
胸腔积液,体位
胸腔积液,肿瘤相关抗原
胸腔积液,电子支气管镜检查
胸腔积液,膈现象
胸腔积液,干扰素
脓胸,血常规
脓胸,胸部平片
脓胸,痰液中晶体
脓胸,金伯克现象
脓胸,胸腔积液检查
脓胸,中性粒细胞计数（NEUT）
脓肿,白细胞计数（WBC）
脓肿,胸部B超
脓肿,皮肤颜色
耳鸣,耳的一般检查法
耳鸣,耳镜检查法
耳鸣,电测听
耳鸣,耳蜗电图
耳鸣,听力检查
耳鸣,听力测试法
耳鸣,耳部检查
耳鸣,纯音听力计检查法
气胸,胸部CT检查
气胸,胸部平片
气胸,呼吸道粘液-纤毛清除功能测定
气胸,肺弥散功能测定（DL）
气胸,金伯克现象
气胸,肺和胸膜触诊
气胸,硬币叩击试验
气胸,硬币叩击征
气胸,动脉血氧分压(PaO2)
结膜充血,血常规
结膜充血,角膜照影法
肺栓塞,通气与血流灌注比值（V/Q）
肺栓塞,心电图
肺栓塞,生理无效腔（Vd/Vt）
肺栓塞,肺灌注显像
肺栓塞,因子VIII/因子IX促凝活性
