aname,bname
化学性支气管炎,药物治疗
化学性支气管炎,支持性治疗
化学性支气管炎,手术治疗
紧张性头痛,药物治疗
紧张性头痛,对症治疗
紧张性头痛,康复治疗
昏迷,药物治疗
昏迷,支持性治疗
谵妄,药物治疗
谵妄,心理治疗
多发性神经炎,药物治疗
多发性神经炎,支持性治疗
多发性神经炎,对症治疗
腹泻,对症治疗
腹泻,病因治疗
咯血,药物治疗
咯血,支持性治疗
蛋白尿,药物治疗
蛋白尿,康复治疗
骨膜炎,支持性治疗
骨膜炎,康复治疗
骨膜炎,物理疗法
心律失常,药物治疗
心律失常,手术治疗
大咯血,药物治疗
大咯血,支持性治疗
咳嗽,药物治疗
咳嗽,支持性治疗
消化不良,药物治疗
消化不良,支持性治疗
头痛,药物治疗
头痛,康复治疗
低血压,药物治疗
低血压,支持性治疗
晕厥,药物治疗
晕厥,支持性治疗
意识障碍,支持性治疗
意识障碍,康复治疗
血尿,药物治疗
血尿,支持性治疗
腹痛,药物治疗
腹痛,康复治疗
吞咽困难,支持性治疗
吞咽困难,康复治疗
呼吸衰竭,药物治疗
呼吸衰竭,支持性治疗
呼吸性碱中毒,药物治疗
呼吸性碱中毒,支持性治疗
休克,支持性治疗
休克,及时补充血容量，积极治疗原发病，药物治疗
眩晕,药物治疗
眩晕,支持性治疗
胸腔积液,药物治疗
胸腔积液,支持性治疗
胸腔积液,手术治疗
脓胸,药物治疗
脓胸,支持治疗
脓肿,药物治疗
脓肿,支持性治疗
耳鸣,药物治疗
耳鸣,支持性治疗
气胸,支持性治疗
气胸,手术治疗
结膜充血,药物治疗
结膜充血,支持性治疗
肺栓塞,药物治疗
肺栓塞,支持性治疗
肺栓塞,外科治疗
疱疹,药物治疗
疱疹,支持性治疗
新生儿反应低下,药物治疗
新生儿反应低下,支持性治疗
慢性咳嗽,药物治疗
慢性咳嗽,支持性治疗
新生儿喉喘鸣,药物治疗
新生儿喉喘鸣,对症治疗
新生儿喉喘鸣,手术治疗
心力衰竭,药物治疗
心力衰竭,支持性治疗
淋巴结结核,药物治疗
淋巴结结核,支持性治疗
新生儿青紫,药物治疗
新生儿青紫,支持性治疗
细菌感染,药物治疗
细菌感染,康复治疗
心包炎,药物治疗
心包炎,支持性治疗
心包炎,手术治疗
痰饮,中医治疗
败血症,药物治疗
败血症,支持治疗
猝死,药物治疗
猝死,支持性治疗
代谢性酸中毒,药物治疗
代谢性酸中毒,康复治疗
体温过低,药物治疗
体温过低,支持性治疗
失眠,药物治疗
失眠,支持性治疗
心动过缓,药物治疗
心动过缓,支持性治疗
心肌缺血,药物治疗
心肌缺血,手术治疗
心肌缺血,介入治疗
动脉粥样硬化,手术治疗
动脉粥样硬化,中西医结合药物治疗
脑干梗塞,药物治疗
脑干梗塞,支持性治疗
静脉曲张,药物治疗
静脉曲张,支持性治疗
静脉曲张,手术治疗
心包积液,药物治疗
心包积液,支持性治疗
心包积液,手术治疗
心绞痛,药物治疗
心绞痛,支持性治疗
心绞痛,手术治疗
精神障碍,药物治疗
精神障碍,心理治疗
动脉导管未闭,药物治疗
动脉导管未闭,手术治疗
神经性呕吐,药物治疗
神经性呕吐,心理治疗
上睑下垂,药物治疗
上睑下垂,支持性治疗
上睑下垂,手术治疗
眼球内陷,药物治疗
眼球内陷,支持性治疗
共济失调,药物治疗
共济失调,支持性治疗
心肌梗死,药物治疗
心肌梗死,支持性治疗
心肌梗死,手术治疗
三尖瓣狭窄,药物治疗
三尖瓣狭窄,支持性治疗
三尖瓣狭窄,手术治疗
硬肿症,药物治疗
硬肿症,支持性治疗
色素斑,药物治疗
色素斑,支持性治疗
耳聋,药物治疗
耳聋,支持治疗
耳聋,物理治疗
肌肉萎缩,康复治疗
下颌后缩,正畸治疗、正颌手术治疗
胎盘早剥,支持性治疗
胎盘早剥,手术治疗
产后出血,药物治疗
产后出血,支持性治疗
便秘,药物治疗如泻药、促动力药，中医理疗
妊高征,支持性治疗
妊高征,康复治疗
菌血症,药物治疗
菌血症,康复治疗
血胸,支持性治疗
血胸,康复治疗
热衰竭,药物治疗
热衰竭,支持治疗
热痉挛,药物治疗
热痉挛,支持性治疗
腹水,药物治疗
腹水,支持性治疗
便血,药物治疗
便血,支持性治疗
低血糖症,药物治疗
低血糖症,支持性治疗
半乳糖血症,支持性治疗
半乳糖血症,饮食治疗
β-氨基酸尿,药物治疗
β-氨基酸尿,支持性治疗
呃逆,药物治疗
呃逆,支持治疗
痢疾,药物治疗
痢疾,支持性治疗
痢疾,中医治疗
肠易激综合征,药物治疗
肠易激综合征,康复治疗
肠痉挛,药物治疗
肠痉挛,支持性治疗
脱水,药物治疗
脱水,支持性治疗
舌炎,药物治疗
舌炎,心理治疗
肠套叠,药物治疗
肠套叠,支持性治疗
肠套叠,手术治疗
腹部肿块,药物治疗
腹部肿块,手术治疗
腹部肿块,支持性
急腹症,手术治疗
急腹症,支持治疗
急腹症,对症处理
腹膜炎,药物治疗
腹膜炎,支持性治疗
腹膜炎,手术治疗
吸收不良综合征,药物治疗
吸收不良综合征,支持性治疗
倾倒综合征,药物治疗
倾倒综合征,支持性治疗
倾倒综合征,手术治疗
胆道运动功能障碍,药物治疗
胆道运动功能障碍,支持性治疗
胆道运动功能障碍,手术治疗
腹胀,药物治疗
腹胀,支持性治疗
蛔虫性肠梗阻,药物治疗
蛔虫性肠梗阻,支持性治疗
蛔虫性肠梗阻,手术治疗
胆结石,药物治疗
胆结石,支持性治疗
胆结石,手术治疗
上消化道出血,药物治疗
上消化道出血,手术治疗
消化性溃疡,药物治疗
消化性溃疡,对症治疗
消化性溃疡,康复治疗
肾功能衰竭,药物治疗
肾功能衰竭,康复治疗
偏头痛,药物治疗
偏头痛,康复治疗
蜘蛛痣,药物治疗
蜘蛛痣,支持性治疗
蜘蛛痣,对症治疗
蜘蛛痣,手术治疗
蜘蛛痣,物理治疗
肝纤维化,药物治疗
肝纤维化,支持性治疗
结肠息肉,药物治疗
结肠息肉,康复治疗
结肠息肉,手术治疗
智能障碍,药物治疗
智能障碍,康复治疗
肝肾综合征,药物治疗
肝肾综合征,支持性治疗
肛裂,支持性治疗
肛裂,手术治疗
结肠粪性穿孔,支持性治疗
结肠粪性穿孔,手术治疗
视神经萎缩,药物治疗
视神经萎缩,支持性治疗
视神经萎缩,对症治疗
肠粘连,手术治疗
肠粘连,非手术治疗
急性胃扩张,药物治疗
急性胃扩张,支持性治疗
急性胃扩张,手术治疗
酒精性肝硬化,对症治疗
酒精性肝硬化,戒酒，
酒精性肝硬化,支持治疗，
溶血性黄疸,药物治疗
溶血性黄疸,支持性治疗
角膜炎,药物治疗
角膜炎,手术治疗
代谢性碱中毒,药物治疗
代谢性碱中毒,支持性治疗
骨质疏松,支持性治疗
骨质疏松,康复治疗
过敏性皮炎,药物治疗
过敏性皮炎,支持治疗
剥脱性皮炎,药物治疗
剥脱性皮炎,支持性治疗
剥脱性皮炎,介入治疗
缺铁性贫血,药物治疗
缺铁性贫血,支持性治疗
脱发,药物治疗
脱发,支持治疗
隐睾,药物治疗
隐睾,支持性治疗
隐睾,手术治疗
巨舌,手术治疗
巨舌,病因治疗
口炎,药物治疗
口炎,支持性治疗
口炎,康复治疗
肺不张,药物治疗
肺不张,支持性治疗
肺不张,手术治疗
球后视神经炎,药物治疗
球后视神经炎,支持性治疗
肠系膜囊肿,药物治疗
肠系膜囊肿,康复治疗
肠系膜囊肿,手术治疗
胆汁性肝硬化,药物治疗
胆汁性肝硬化,支持性治疗
胆汁性肝硬化,对症治疗
小肠损伤,药物治疗
小肠损伤,康复治疗
小肠损伤,手术治疗
眼球震颤,药物治疗
眼球震颤,支持性治疗
脑积水,药物治疗
脑积水,康复治疗
肠道血管畸形,药物治疗
肠道血管畸形,支持性治疗
肠道血管畸形,手术治疗
鼻出血,药物治疗
鼻出血,康复治疗
流产,支持性治疗
流产,手术治疗
闭经,药物治疗
闭经,支持性治疗
闭经,对症治疗
瘫痪,药物治疗
瘫痪,康复治疗
瘫痪,手术治疗
瘫痪,支持治疗
瘫痪,物理治疗
颅内出血,药物治疗
颅内出血,手术治疗
颅内出血,支持治疗
直肠重复畸形,支持性治疗
直肠重复畸形,手术治疗
血脂异常,药物治疗
血脂异常,支持性治疗
甲状旁腺功能亢进,药物治疗
甲状旁腺功能亢进,手术治疗
低钾血症,药物治疗
低钾血症,支持性治疗
低钾血症,对症治疗
低钠血症,药物治疗
低钠血症,支持性治疗
遗尿,药物治疗
遗尿,支持性治疗
小儿遗尿,行为
小儿遗尿,行为治疗、觉醒训练、药物治疗、针灸和生物反馈治疗
肾病综合征,药物治疗
肾病综合征,对症治疗
肾病综合征,康复治疗
肾结石,支持性治疗
肾结石,手术治疗
口腔溃疡,药物治疗
口腔溃疡,支持性治疗
口腔溃疡,康复治疗
前列腺增生,药物治疗
前列腺增生,支持性治疗
前列腺增生,手术治疗
尿失禁,药物治疗
尿失禁,康复治疗
尿潴留,药物治疗
尿潴留,手术治疗
尿潴留,支持性
慢性肾功能不全,药物治疗
慢性肾功能不全,康复治疗
膀胱结核,支持治疗
膀胱结核,抗结核治疗
膀胱结核,，手术治疗，
继发性高血压,药物治疗，手术治疗
肾脓肿,药物治疗
肾脓肿,支持性治疗
低钙血症,药物治疗
低钙血症,支持性治疗
痴呆,药物治疗
痴呆,支持治疗
烟酸缺乏,药物治疗
烟酸缺乏,支持性治疗
睡眠障碍,药物治疗
睡眠障碍,支持性治疗
脑脓肿,药物抗菌治疗，连续的影像学检查，外科手段的综合治疗
脑膜炎,药物治疗
脑膜炎,支持性治疗
植物神经功能障碍,支持性治疗
植物神经功能障碍,对症治疗
植物神经功能障碍,中医治疗
肝豆状核变性,药物治疗
肝豆状核变性,对症治疗
肝豆状核变性,手术治疗
肝豆状核变性,中医治疗
眼球突出,药物治疗
眼球突出,支持性治疗
截瘫,支持性治疗
截瘫,康复治疗
截瘫,物理治疗
截瘫,心理治疗
脊髓梗死,药物治疗
脊髓梗死,康复治疗
乳突炎,药物治疗
乳突炎,为主，出现并发症需要手术治疗
扭转痉挛,药物治疗
扭转痉挛,支持性治疗
扭转痉挛,手术治疗
血管痣,药物治疗
血管痣,支持性治疗
血管痣,手术治疗
面肌抽搐,药物治疗
面肌抽搐,康复治疗
婴儿痉挛症,药物治疗
婴儿痉挛症,支持性治疗
婴儿痉挛症,手术治疗
运动性闭经,药物治疗
运动性闭经,支持性治疗
运动性闭经,对症治疗
痛经,药物治疗
痛经,支持性治疗
夜惊,药物治疗
夜惊,心理治疗
病理性REM睡眠,药物治疗
病理性REM睡眠,支持性治疗
梦游症,支持性治疗
磨牙,支持性治疗
磨牙,康复治疗
多汗症,药物治疗
多汗症,支持治疗
肾上腺危象,药物治疗
肾上腺危象,支持性治疗
乳头皲裂,药物治疗
乳头皲裂,支持治疗
角膜溃疡,药物治疗
角膜溃疡,手术治疗
角膜溃疡,支持治疗
雀斑,支持性治疗
雀斑,康复治疗
乳房疼痛,药物治疗
乳房疼痛,支持性治疗
乳房疼痛,手术治疗
乳头溢液,药物治疗
乳头溢液,支持性治疗
乳房肿块,药物治疗
乳房肿块,支持性治疗
乳头内陷,药物治疗
乳头内陷,支持性治疗
乳头内陷,手术治疗
库欣综合征,药物治疗
库欣综合征,支持性治疗
溶血性贫血,药物治疗
溶血性贫血,支持性治疗
涎瘘,支持性治疗
涎瘘,康复治疗
涎瘘,手术治疗
男性性早熟,药物治疗
男性性早熟,支持性治疗
露阴癖,心理治疗
异性装扮癖,药物治疗
异性装扮癖,心理治疗
脾大,药物治疗
脾大,康复治疗
低镁血症,药物治疗
低镁血症,支持性治疗
心脏淤积淀粉样物质,药物治疗
心脏淤积淀粉样物质,支持治疗
呼吸性酸中毒,药物治疗
呼吸性酸中毒,支持性治疗
末梢神经炎,药物治疗
末梢神经炎,支持性治疗
湿疹,药物治疗
湿疹,支持性治疗
脾功能亢进,药物治疗
脾功能亢进,康复治疗
脾功能亢进,手术治疗
营养不良,药物治疗
营养不良,支持性治疗
血瘀体质,支持性治疗
血瘀体质,中医治疗
贫血,药物治疗
贫血,支持性治疗
贫血,中医辨证施治
膝内翻,康复治疗
膝内翻,手术治疗
网状青斑,药物治疗
网状青斑,支持性治疗
冻疮,药物治疗
冻疮,支持性治疗
甲营养不良,药物治疗
甲营养不良,支持治疗
坐骨神经痛,支持性治疗
坐骨神经痛,康复治疗
坏死性筋膜炎,药物治疗
坏死性筋膜炎,支持性治疗
坏死性筋膜炎,康复治疗
坏死性筋膜炎,手术治疗
肋间神经痛,药物治疗
肋间神经痛,康复治疗
类风湿关节炎,药物治疗
类风湿关节炎,支持性治疗
类风湿关节炎,手术治疗
药疹,药物治疗
药疹,支持性治疗
胸廓畸形,药物治疗
胸廓畸形,支持性治疗
胸廓畸形,手术治疗
传导性腹痛,药物治疗
传导性腹痛,支持治疗
脊柱侧弯,支持性治疗
脊柱侧弯,康复治疗
缩窄性心包炎,药物治疗
缩窄性心包炎,支持性治疗
乳糜胸,药物治疗
乳糜胸,支持性治疗
胸骨裂,支持性治疗
胸骨裂,康复治疗
胸骨裂,手术治疗
腕管综合征,支持性治疗
腕管综合征,康复治疗
腕管综合征,手术治疗
脑疝,支持性治疗
脑疝,康复治疗
鳞状细胞癌,药物治疗
鳞状细胞癌,支持性治疗
鳞状细胞癌,手术治疗
颈椎骨折脱位,药物治疗
颈椎骨折脱位,支持性治疗
颈椎骨折脱位,康复治疗
颈肩痛,支持性治疗
颈肩痛,康复治疗
脊柱裂,药物治疗
脊柱裂,康复治疗
脊柱裂,手术治疗
口唇疱疹,药物治疗
口唇疱疹,支持性治疗
脑脊液鼻漏,手术治疗
脑脊液鼻漏,非手术治疗
嗅觉障碍,对症治疗
嗅觉障碍,支持治疗
嗅觉障碍,病因治疗
偏瘫,药物治疗
偏瘫,、康复功能锻炼及支持性治疗
胆囊结石,药物治疗
胆囊结石,康复治疗
胆囊结石,手术治疗
胆总管结石,药物治疗
胆总管结石,支持性治疗
胆总管结石,手术治疗
前列腺钙化,支持性治疗
前列腺钙化,康复治疗
精索静脉曲张,药物治疗
精索静脉曲张,康复治疗
精索静脉曲张,手术治疗
尿道结石,支持性治疗
尿道结石,手术治疗
尿瘘,支持性治疗
尿瘘,手术治疗
遗精,支持性治疗
遗精,中医治疗
大便失禁,支持性治疗
大便失禁,手术治疗
老年大便失禁,支持性治疗
老年大便失禁,手术治疗
盲肠阿米巴肉芽肿,药物治疗
盲肠阿米巴肉芽肿,支持性治疗
盲肠阿米巴肉芽肿,手术治疗
痔核,药物治疗
痔核,介入治疗
扁平足,支持性治疗
扁平足,康复治疗
耳硬化症,镫骨手术治疗为主。
肘关节脱位,支持性治疗
肘关节脱位,康复治疗
肘关节脱位,手术治疗
肢骨纹状肥大,支持性治疗
肢骨纹状肥大,对症治疗
肢骨纹状肥大,康复治疗
肢骨纹状肥大,手术治疗
粉碎性骨折,支持性治疗
粉碎性骨折,康复治疗
粉碎性骨折,手术治疗
撕脱骨折,支持性治疗
撕脱骨折,康复治疗
撕脱骨折,手术治疗
骨囊肿,药物治疗
骨囊肿,支持性治疗
骨囊肿,康复治疗
骨囊肿,手术治疗
髋关节脱位,支持性治疗
髋关节脱位,康复治疗
髋关节脱位,手术治疗
斜视,康复治疗
斜视,手术治疗
传导性耳聋,药物治疗
传导性耳聋,支持性治疗
鸡眼,药物治疗
鸡眼,支持性治疗
痉挛性斜颈,药物治疗
痉挛性斜颈,康复治疗
前列腺结石,支持性治疗
前列腺结石,手术治疗
足外翻,支持性治疗
足外翻,康复治疗
足外翻,复位治疗
脊髓半切综合征,支持性治疗
脊髓半切综合征,康复治疗
锥体外系损害,药物治疗
锥体外系损害,支持性治疗
书写痉挛,药物治疗
书写痉挛,支持性治疗
书写痉挛,康复治疗
脊髓性肌萎缩,药物治疗
脊髓性肌萎缩,支持性治疗
脊髓性肌萎缩,康复治疗
棘突压痛,支持性治疗
棘突压痛,康复治疗
指节垫,药物治疗
指节垫,支持性治疗
发育性骨盆异常,药物治疗
