aname,bname
化学性支气管炎,百合粥
化学性支气管炎,百合川贝银杏羹
化学性支气管炎,芝麻小米粥
化学性支气管炎,芝麻桃仁粥
化学性支气管炎,百合绿豆粥
化学性支气管炎,百合参耳汤
紧张性头痛,番茄芹菜汁
紧张性头痛,肉卤鸡蛋
紧张性头痛,鸡蛋面
紧张性头痛,雪菜牛肉粥
紧张性头痛,芹菜牛肉粥
紧张性头痛,萝卜牛肉蒸饺
紧张性头痛,鲶鱼粥
紧张性头痛,龙井鲶鱼清汤
昏迷,番茄西米粥
昏迷,鸡蛋面
昏迷,牛奶麦片粥
昏迷,牛奶菠菜粥
昏迷,牛奶蛋花粥
昏迷,龙莲鸡蛋汤
昏迷,牛奶杏仁粥
昏迷,百合熟地鸡蛋汤
多发性神经炎,枸杞子粥
多发性神经炎,山药桂圆粥
多发性神经炎,党参杜仲糯米粥
多发性神经炎,炖山药
多发性神经炎,党参田七炖鸡
多发性神经炎,清蒸石斑鱼
多发性神经炎,山楂枸杞子兔肉汤
多发性神经炎,枸杞子牛肝汤
腹泻,糖醋草鱼
腹泻,草鱼豆腐
腹泻,丝瓜汤
腹泻,炒丝瓜
腹泻,鲜柠檬汁
腹泻,平菇粥
腹泻,干炒平菇
腹泻,滑熘平菇
咯血,赤小豆粥
咯血,荞菜炒肉丝
咯血,炸牛脑
咯血,燕窝汤
咯血,冰糖燕窝
咯血,燕窝鸡粥
咯血,盐煮毛豆
咯血,竹笋拌毛豆
蛋白尿,绿豆薏米饭
蛋白尿,小米素羹
蛋白尿,小米粉粥
蛋白尿,薏米汤
蛋白尿,芝麻小米粥
蛋白尿,菱角薏仁粥
蛋白尿,葱香菱角
蛋白尿,花菇烧菱角
肺纤维化,黄瓜三丝汤
肺纤维化,黄瓜拌豆腐丝
肺纤维化,番茄黄瓜汁
肺纤维化,黄瓜拌绿豆芽
肺纤维化,三丝黄瓜卷
肺纤维化,猪肝拌黄瓜
肺纤维化,老黄瓜瘦肉汤
肺纤维化,三味黄瓜
心律失常,萝卜粳米粥
心律失常,莲子粥
心律失常,水晶莲子
心律失常,荷叶粳米粥
心律失常,莲子茶
心律失常,荷叶包
心律失常,荷叶粥
心律失常,薏米汤
大咯血,薏米豆腐羹
大咯血,豆腐皮粥
大咯血,菠菜羹
大咯血,花生菠菜粥
大咯血,猪肝菠菜粥
大咯血,苋菜鱼头豆腐汤
大咯血,百合杏仁枇杷粥
大咯血,枇杷银耳粥
咳嗽,绿豆南瓜汤
咳嗽,小白菜馅包子
咳嗽,白菜包子
咳嗽,桂圆黑豆粥
咳嗽,红枣黑豆粥
咳嗽,南瓜大麦粥
咳嗽,黄豆芽拌芦荟
咳嗽,素炒黄豆芽
消化不良,口蘑香菇粥
消化不良,香菇薏米饭
消化不良,莲藕萝卜
消化不良,扁豆瘦肉汤
消化不良,扁豆糕
消化不良,南瓜饭豇豆粥
消化不良,嫩豇豆汤
消化不良,莲藕小豆猪胰汤
头痛,三鲜冬瓜汤
头痛,凉拌莲藕
头痛,冬瓜粥
头痛,冬瓜汤
头痛,红豆莲藕粥
头痛,紫茄子粥
头痛,油焖茄子
头痛,清拌茄子
低血压,牛奶玉米汤
低血压,炒苋菜
低血压,宫保猪肉丁
低血压,猪肝绿豆粥
低血压,泥鳅汤
低血压,蛋黄碎牛肉粥
低血压,蛋黄粥
低血压,黑木耳炒猪肝
晕厥,小麦粥
晕厥,荞麦粥
晕厥,杂粮粥
晕厥,西兰花素鸡马蹄冬菇汤
晕厥,生鱼片粥
晕厥,苦瓜瘦肉汤
晕厥,萝卜青果粥
晕厥,粟子芥菜冬菇汤
意识障碍,素炒菠菜
意识障碍,菠菜豆腐汤
意识障碍,菠菜汤
意识障碍,鱼香油菜心
意识障碍,花生菠菜粥
意识障碍,炒油菜薹
意识障碍,豆腐烧油菜
意识障碍,四季豆粥
血尿,马兰头菜粥
血尿,荠菜粥
血尿,炒莴笋丝
血尿,莴笋叶豆腐羹
血尿,荠菜包子
血尿,拌荠菜松
血尿,荠菜汤
血尿,梅子肉
腹痛,清炒绿豆芽
腹痛,醋拌绿豆芽
腹痛,银耳绿豆粥
腹痛,炒芹菜
腹痛,绿豆粥
腹痛,绿豆包
腹痛,菠菜绿豆芽
腹痛,酱芹菜
吞咽困难,花生杏仁粥
吞咽困难,桂圆黑豆粥
吞咽困难,猪肉青菜粥
吞咽困难,木瓜胡萝卜玉米粥
吞咽困难,土豆泥牛奶粥
吞咽困难,绿豆奶粥
吞咽困难,萝卜青果粥
吞咽困难,苦杏仁粥
呼吸衰竭,番茄鸡蛋煎饼
呼吸衰竭,番茄西米粥
呼吸衰竭,番茄菠萝汁
呼吸衰竭,番茄黄瓜汁
呼吸衰竭,番茄羊排粥
呼吸衰竭,虾仁番茄饺
呼吸衰竭,炸番茄蛋饺
呼吸衰竭,番茄西瓜汁
呼吸性碱中毒,小白菜馅包子
呼吸性碱中毒,大白菜饺
呼吸性碱中毒,培根白菜粥
呼吸性碱中毒,荠菜肉丝豆腐羹
呼吸性碱中毒,荠菜淡菜汤
呼吸性碱中毒,荠菜豆腐羹
呼吸性碱中毒,苦瓜荠菜瘦肉汤
呼吸性碱中毒,虾仁青豆炒饭
休克,黄瓜粳米粥
休克,萝卜粳米粥
休克,燕麦粳米粥
眩晕,双菇番茄黄瓜紫菜汤
眩晕,冬菇椰菜豆腐粉丝汤
眩晕,牛奶菠菜粥
眩晕,猪肉青菜粥
眩晕,菠菜双蛋羹
眩晕,瑶柱生菜白菜汤
眩晕,卷心菜菠萝汁
眩晕,冰糖绿豆苋菜粥
胸腔积液,炝圆白菜
胸腔积液,苹果
胸腔积液,苹果汁
胸腔积液,素炒圆白菜
胸腔积液,牛奶麦片粥
胸腔积液,牛奶菠菜粥
胸腔积液,牛奶煮平菇
胸腔积液,小白菜汤
脓肿,番茄芦笋紫菜汤
脓肿,白菜包子
脓肿,白菜粥
脓肿,胡萝卜番茄汤
