aname,bname
化学性支气管炎,鸡蛋
化学性支气管炎,蜂蜜
化学性支气管炎,荸荠粉
化学性支气管炎,芝麻叶
紧张性头痛,鸡蛋
紧张性头痛,松子仁
紧张性头痛,芝麻
紧张性头痛,鸭肉
昏迷,鸡蛋
昏迷,松子仁
昏迷,芝麻
昏迷,鸭肉
多发性神经炎,松子仁
多发性神经炎,芝麻
多发性神经炎,鸭肉
多发性神经炎,鸡肉
腹泻,栗子（熟）
腹泻,鹿肉
腹泻,鸡肝
腹泻,鸡肉
咯血,松子仁
咯血,芝麻
咯血,鸡心
咯血,燕窝
蛋白尿,花生
蛋白尿,鸡肉
蛋白尿,鸡腿
蛋白尿,鹅肉
肺纤维化,南瓜子仁
肺纤维化,鸡蛋
肺纤维化,芝麻
肺纤维化,腰果
心律失常,南瓜子仁
心律失常,莲子
心律失常,栗子（熟）
心律失常,鹿肉
大咯血,鸡蛋
大咯血,莲子
大咯血,燕窝
大咯血,鸭血(白鸭)
咳嗽,芝麻
咳嗽,鸡肉
咳嗽,鸡腿
咳嗽,鹅肉
消化不良,银鱼
消化不良,黑豆
消化不良,青豆
消化不良,武昌鱼
头痛,鸡蛋
头痛,芝麻
头痛,鸭肉
头痛,鸭蛋
低血压,鸡心
低血压,鸡肉
低血压,鸡蛋黄
低血压,鸭肝
晕厥,莲子
晕厥,松子仁
晕厥,葵花子仁
晕厥,白果（干）
意识障碍,莲子
意识障碍,松子仁
意识障碍,鹌鹑蛋
意识障碍,葵花子仁
血尿,松子仁
血尿,芝麻
血尿,鸭肉
血尿,腰果
腹痛,栗子（熟）
腹痛,鹿肉
腹痛,葵花子仁
腹痛,白果（干）
吞咽困难,鸡蛋
吞咽困难,鸭肉
吞咽困难,鸽蛋
吞咽困难,鸭蛋
呼吸衰竭,南瓜子仁
呼吸衰竭,栗子（熟）
呼吸衰竭,芝麻
呼吸衰竭,葵花子仁
呼吸性碱中毒,鹿肉
呼吸性碱中毒,葵花子仁
呼吸性碱中毒,白果（干）
呼吸性碱中毒,鹅肉
休克,南瓜子仁
休克,鸡蛋
休克,莲子
休克,杏仁
眩晕,鸡蛋
眩晕,腰果
眩晕,花生
眩晕,鸡肉
胸腔积液,南瓜子仁
胸腔积液,莲子
胸腔积液,鹿肉
胸腔积液,鸡肉
脓肿,南瓜子仁
脓肿,鹿肉
脓肿,鸡肝
脓肿,鸡心
耳鸣,南瓜子仁
耳鸣,芝麻
耳鸣,腰果
耳鸣,鸡翅
气胸,南瓜子仁
气胸,鸡蛋
气胸,栗子（熟）
气胸,芝麻
结膜充血,鸡蛋
结膜充血,芝麻
结膜充血,鸡心
结膜充血,腰果
肺栓塞,鹿肉
肺栓塞,鸡肝
肺栓塞,蜂蜜
肺栓塞,芝麻
疱疹,莲子
疱疹,栗子（熟）
疱疹,核桃
疱疹,芝麻
慢性咳嗽,鸡蛋
慢性咳嗽,腰果
慢性咳嗽,鸡肉
慢性咳嗽,鸭蛋
心力衰竭,鸡蛋
心力衰竭,鸭蛋
心力衰竭,鸡爪
心力衰竭,鸭翅
淋巴结结核,莲子
淋巴结结核,鸡心
淋巴结结核,鹅肉
淋巴结结核,荸荠粉
细菌感染,鸡心
细菌感染,白果（干）
细菌感染,鹅肉
细菌感染,荸荠粉
心包炎,南瓜子仁
心包炎,莲子
心包炎,核桃
心包炎,腰果
败血症,鸡蛋
败血症,莲子
败血症,核桃
败血症,白果（鲜）
代谢性酸中毒,鹿肉
代谢性酸中毒,葵花子仁
代谢性酸中毒,白果（干）
代谢性酸中毒,鹅肉
体温过低,鸡蛋
体温过低,鸭肉
体温过低,鹌鹑蛋
体温过低,鸽蛋
失眠,鸡肝
失眠,鸡心
失眠,腰果
失眠,鸭肝
心动过缓,南瓜子仁
心动过缓,鸡心
心动过缓,腰果
心动过缓,鹅肉
心肌缺血,鸭肉
心肌缺血,腰果
心肌缺血,鸡爪
心肌缺血,鸭翅
动脉粥样硬化,南瓜子仁
动脉粥样硬化,鸡肉
动脉粥样硬化,鸡腿
动脉粥样硬化,鹅肉
脑干梗塞,鸡蛋
脑干梗塞,鸡肉
脑干梗塞,鹌鹑蛋
脑干梗塞,鸽蛋
静脉曲张,鸡蛋
静脉曲张,芝麻
静脉曲张,鸡肉
静脉曲张,鸭蛋
心包积液,南瓜子仁
心包积液,莲子
心包积液,鹿肉
心包积液,蜂蜜
心绞痛,南瓜子仁
心绞痛,鸡蛋
心绞痛,莲子
心绞痛,栗子（熟）
动脉导管未闭,南瓜子仁
动脉导管未闭,莲子
动脉导管未闭,栗子（熟）
动脉导管未闭,松子（炒）
神经性呕吐,栗子（熟）
神经性呕吐,鹿肉
神经性呕吐,鸡心
神经性呕吐,葵花子仁
上睑下垂,芝麻
上睑下垂,葵花子仁
上睑下垂,白果（干）
上睑下垂,栗子（鲜）
眼球内陷,鸡肉
眼球内陷,葵花子仁
眼球内陷,栗子（鲜）
眼球内陷,薇菜
共济失调,鸡蛋
共济失调,莲子
共济失调,松子仁
共济失调,芝麻
心肌梗死,南瓜子仁
心肌梗死,莲子
心肌梗死,栗子（熟）
心肌梗死,鹿肉
三尖瓣狭窄,南瓜子仁
三尖瓣狭窄,莲子
三尖瓣狭窄,栗子（熟）
三尖瓣狭窄,杏仁
色素斑,鸡蛋
色素斑,芝麻
色素斑,鸡肉
色素斑,鸭蛋
耳聋,鸡蛋
耳聋,鸡肉
耳聋,白果（鲜）
耳聋,黑芝麻
肌肉萎缩,莲子
肌肉萎缩,鸡心
肌肉萎缩,青豆
肌肉萎缩,花生仁（生）
下颌后缩,莲子
下颌后缩,鹿肉
下颌后缩,芝麻
下颌后缩,乌骨鸡
胎盘早剥,核桃
胎盘早剥,花生
胎盘早剥,鸡肉
胎盘早剥,葵花子仁
产后出血,杏仁
产后出血,鹿肉
产后出血,鸡肝
产后出血,松子仁
便秘,南瓜子仁
便秘,鹿肉
便秘,蜂蜜
便秘,松子（炒）
妊高征,鸡蛋
妊高征,鸡肉
妊高征,鹌鹑蛋
妊高征,葵花子仁
菌血症,南瓜子仁
菌血症,鹿肉
菌血症,葵花子仁
菌血症,鹅肉
血胸,南瓜子仁
血胸,葵花子仁
血胸,白果（干）
血胸,鸽蛋
腹水,芝麻
腹水,鸡心
腹水,腰果
腹水,鸡肉
便血,鸡蛋
便血,鸡蛋黄
便血,白果（鲜）
便血,黑芝麻
低血糖症,鹿肉
低血糖症,鸡肉
低血糖症,鸭肝
低血糖症,鹅肉
半乳糖血症,南瓜子仁
半乳糖血症,栗子（熟）
半乳糖血症,鹿肉
半乳糖血症,芝麻
β-氨基酸尿,鸡心
β-氨基酸尿,白果（干）
β-氨基酸尿,鹅肉
β-氨基酸尿,荸荠粉
呃逆,鸡蛋
呃逆,鸭肉
呃逆,鸽蛋
呃逆,鸭蛋
痢疾,鸡心
痢疾,白果（干）
痢疾,鹅肉
痢疾,荸荠粉
肠易激综合征,南瓜子仁
肠易激综合征,栗子（熟）
肠易激综合征,鹿肉
肠易激综合征,葵花子仁
肠痉挛,鸡蛋
肠痉挛,鸡肝
肠痉挛,鸡肉
肠痉挛,咸鸭蛋
脱水,鸭肉
脱水,鸡肉
脱水,葵花子仁
脱水,鸭肝
舌炎,鸡心
舌炎,花生
舌炎,鹅肉
舌炎,荸荠粉
肠套叠,南瓜子仁
肠套叠,鹿肉
肠套叠,蜂蜜
肠套叠,鸡肉
腹部肿块,南瓜子仁
腹部肿块,芝麻
腹部肿块,鸡心
腹部肿块,腰果
急腹症,南瓜子仁
急腹症,鸡肉
急腹症,鸡腿
急腹症,鹅肉
腹膜炎,南瓜子仁
腹膜炎,莲子
腹膜炎,栗子（熟）
腹膜炎,鹿肉
吸收不良综合征,鸡蛋
吸收不良综合征,鹿肉
吸收不良综合征,鸡肉
吸收不良综合征,鸭蛋
倾倒综合征,栗子（熟）
倾倒综合征,鹿肉
倾倒综合征,鸡心
倾倒综合征,葵花子仁
胆道运动功能障碍,莲子
