aname,bname
化学性支气管炎,蛇胆川贝液
化学性支气管炎,乳酸左氧氟沙星片
化学性支气管炎,氨苄西林胶囊
化学性支气管炎,头孢拉定胶囊
化学性支气管炎,阿莫西林颗粒
化学性支气管炎,头孢克洛颗粒
化学性支气管炎,盐酸左氧氟沙星胶囊
化学性支气管炎,头孢氨苄胶囊
化学性支气管炎,蛤蚧定喘丸
化学性支气管炎,乙酰螺旋霉素片
化学性支气管炎,注射用头孢唑林钠
化学性支气管炎,头孢克肟颗粒
化学性支气管炎,头孢克肟分散片
化学性支气管炎,麦迪霉素片
化学性支气管炎,头孢拉定分散片
化学性支气管炎,消炎片
化学性支气管炎,利巴韦林分散片
化学性支气管炎,匹多莫德颗粒剂
化学性支气管炎,炎立消胶囊
化学性支气管炎,川贝枇杷糖浆
化学性支气管炎,羧甲司坦片
紧张性头痛,阿司匹林肠溶片
紧张性头痛,阿司匹林片
紧张性头痛,阿司匹林肠溶胶囊
紧张性头痛,双氯芬酸钠肠溶片
紧张性头痛,萘普生片
紧张性头痛,通天口服液
紧张性头痛,盐酸可乐定片
紧张性头痛,苯甲酸利扎曲普坦片
昏迷,氯化钠注射液
谵妄,奋乃静片
谵妄,氟哌啶醇片
谵妄,脑蛋白水解物注射液
谵妄,氢溴酸加兰他敏分散片
谵妄,氟哌啶醇注射液
多发性神经炎,珊瑚七十味丸
多发性神经炎,维生素B1丸
多发性神经炎,呋喃硫胺片
多发性神经炎,维生素B1片
多发性神经炎,腺苷钴胺片
多发性神经炎,氨咖甘片
多发性神经炎,甲钴胺胶囊
多发性神经炎,维生素B12片
多发性神经炎,甲钴胺片
腹泻,藿香正气片
腹泻,龙虎人丹
腹泻,加味藿香正气丸
腹泻,复方谷氨酰胺肠溶胶囊
腹泻,复合乳酸菌胶囊
腹泻,保儿安颗粒
腹泻,蒙脱石散
腹泻,理中丸
腹泻,补中益气丸
腹泻,源吉林甘和茶
腹泻,香砂六君丸
腹泻,地衣芽孢杆菌活菌胶囊
腹泻,复方丁香开胃贴
腹泻,复方黄连素片
腹泻,枯草杆菌二联活菌肠溶胶囊
腹泻,枯草杆菌活菌胶囊
腹泻,肠泰合剂
腹泻,盐酸小檗碱片
腹泻,当归腹痛宁滴丸
腹泻,金菊五花茶颗粒
腹泻,双歧杆菌三联活菌胶囊
腹泻,双歧杆菌三联活菌散
咯血,盐酸克林霉素棕榈酸酯分散片
咯血,盐酸左氧氟沙星胶囊
咯血,头孢克肟颗粒
咯血,头孢克肟分散片
咯血,司帕沙星分散片
咯血,4:1分散片
咯血,头孢克肟胶囊
咯血,盐酸米诺环素胶囊
咯血,司帕沙星片
咯血,头孢克肟干混悬剂
咯血,盐酸氨溴索缓释胶囊
咯血,三七血伤宁散
咯血,盐酸洛美沙星片
咯血,愈酚溴新口服溶液
骨膜炎,双氯芬酸钠肠溶片
骨膜炎,Ⅰ
骨膜炎,布洛芬缓释胶囊
骨膜炎,布洛芬片
骨膜炎,双氯芬酸钠缓释片
骨膜炎,布洛芬缓释混悬液
骨膜炎,双氯芬酸二乙胺凝胶
骨膜炎,依托芬那酯凝胶
骨膜炎,复方水杨酸甲酯乳膏
骨膜炎,吲哚美辛胶囊
肺纤维化,吡非尼酮胶囊
肺纤维化,注射用甲磺酸帕珠沙星
肺纤维化,甲磺酸帕珠沙星氯化钠注射液
肺纤维化,甲磺酸帕珠沙星注射液
心律失常,宁心宝胶囊
心律失常,二十五味珊瑚丸
心律失常,天王补心丸
心律失常,降脂宁颗粒
心律失常,盐酸胺碘酮片
心律失常,保心宁片
心律失常,养心定悸胶囊
心律失常,十全大补丸
心律失常,心可舒颗粒
心律失常,黄杨宁片
心律失常,珊瑚七十味丸
心律失常,盐酸普罗帕酮片
心律失常,苯妥英钠片
心律失常,盐酸美西律片
大咯血,转移因子口服溶液
大咯血,氟尿嘧啶注射液
大咯血,汉防己甲素片
大咯血,威麦宁胶囊
大咯血,西黄丸
大咯血,肿节风胶囊
大咯血,消癌平片
大咯血,消癌平胶囊
大咯血,复方斑蝥胶囊
大咯血,阿魏化痞膏
大咯血,复方万年青胶囊
大咯血,清肺散结丸
大咯血,紫龙金片
大咯血,鲑降钙素注射液
大咯血,鹤蟾片
