aname,bname
化学性支气管炎,螃蟹
化学性支气管炎,鸭肉
化学性支气管炎,河蚌
化学性支气管炎,鸭蛋
紧张性头痛,鹿肉
紧张性头痛,白扁豆
紧张性头痛,虾皮
紧张性头痛,泥鳅
昏迷,杏仁
昏迷,鹿肉
昏迷,白扁豆
昏迷,虾皮
多发性神经炎,啤酒
多发性神经炎,白酒
多发性神经炎,鹿肉
多发性神经炎,鹅肉
腹泻,杏仁
腹泻,鹌鹑蛋
腹泻,松子（炒）
腹泻,鸡腿
咯血,杏仁
咯血,白扁豆
咯血,猪油（板油）
咯血,猪小排（猪肋排）
蛋白尿,松子仁
蛋白尿,鸭肉
蛋白尿,鸭蛋
蛋白尿,鱿鱼(鲜)
肺纤维化,啤酒
肺纤维化,白酒
肺纤维化,杏仁
肺纤维化,红葡萄酒
心律失常,杏仁
心律失常,鸡肝
心律失常,白扁豆
心律失常,银鱼
大咯血,杏仁
大咯血,鹿肉
大咯血,鸡肝
大咯血,虾皮
咳嗽,螃蟹
咳嗽,松子仁
咳嗽,鸭肉
咳嗽,鸭蛋
消化不良,海螺
消化不良,白扁豆
消化不良,田螺
消化不良,赤小豆
头痛,杏仁
头痛,腐竹
头痛,白扁豆
头痛,泥鳅
低血压,螃蟹
低血压,海螺
低血压,田螺
低血压,黑豆
晕厥,腐竹
晕厥,白扁豆
晕厥,咸鱼
晕厥,咸鸭蛋
意识障碍,螃蟹
意识障碍,腐竹
意识障碍,白扁豆
意识障碍,田螺
血尿,杏仁
血尿,核桃
血尿,鹿肉
血尿,白扁豆
腹痛,鸡肝
腹痛,鸡心
腹痛,鹌鹑蛋
腹痛,鸡腿
吞咽困难,啤酒
吞咽困难,白酒
吞咽困难,咸鸭蛋
吞咽困难,干腌菜
呼吸衰竭,海蟹
呼吸衰竭,海虾
呼吸衰竭,海螺
呼吸衰竭,白扁豆
呼吸性碱中毒,杏仁
呼吸性碱中毒,核桃
呼吸性碱中毒,松子仁
呼吸性碱中毒,赤小豆
休克,啤酒
休克,白酒
休克,杏仁
休克,松子仁
眩晕,啤酒
眩晕,白酒
眩晕,咸鱼
眩晕,咸鸭蛋
胸腔积液,杏仁
胸腔积液,鸡肝
胸腔积液,白扁豆
胸腔积液,银鱼
脓肿,啤酒
脓肿,白酒
脓肿,白扁豆
脓肿,赤小豆
耳鸣,杏仁
耳鸣,腐竹
耳鸣,白扁豆
耳鸣,猪油（板油）
气胸,白扁豆
气胸,猪油（板油）
气胸,猪小排（猪肋排）
气胸,猪里脊肉
结膜充血,白扁豆
结膜充血,猪小排（猪肋排）
结膜充血,猪里脊肉
结膜充血,猪肉皮
肺栓塞,海蟹
肺栓塞,海虾
肺栓塞,狗肉
