aname,bname
化学性支气管炎,呼吸困难
化学性支气管炎,胸闷
化学性支气管炎,胸闷憋气
化学性支气管炎,衣玉品
紧张性头痛,紧张
紧张性头痛,儿童头痛
紧张性头痛,儿童偏头痛
紧张性头痛,看东西变远
紧张性头痛,颈部僵硬
紧张性头痛,面、头、颈、肩...
紧张性头痛,考试综合症
紧张性头痛,紧箍咒一样头紧
昏迷,低血压
昏迷,呼吸不规则
昏迷,对光反射迟钝
昏迷,颅内出血
昏迷,大小便潴留
昏迷,腹壁反射减弱或消失
昏迷,颅内感染
昏迷,觉醒状态丧失
谵妄,昏迷
谵妄,驻站医
谵妄,幻觉
谵妄,构音障碍
谵妄,迫害妄想
谵妄,噩梦
谵妄,人格改变
谵妄,幻听
谵妄,注意障碍
谵妄,精神运动性活动变坏
多发性神经炎,腱反射消失
多发性神经炎,腹泻
多发性神经炎,肌肉萎缩
多发性神经炎,位置觉、震动觉减退
多发性神经炎,跨阈步态
多发性神经炎,骨间肌和鱼际肌萎缩
多发性神经炎,男子性功能障碍
多发性神经炎,肌束震颤
多发性神经炎,感觉过度
腹泻,腹痛
腹泻,消瘦
腹泻,细菌感染
腹泻,里急后重
腹泻,回盲瓣功能不全
腹泻,粪便中查见虫卵...
腹泻,肠道吸收水分增加
腹泻,食指不明原因疼痛
咯血,咯血伴发热
咯血,呼吸音减弱
咯血,要利琴
咯血,咯血伴胸痛
咯血,淋巴结肿大
咯血,咯血伴黄疸
咯血,咯血伴呛咳
咯血,窒息
咯血,咯血伴有皮肤粘膜出血
咯血,啰音
咯血,咯血
蛋白尿,血尿伴蛋白尿
蛋白尿,妊娠后期水肿
蛋白尿,蛋白尿
骨膜炎,骨痛
骨膜炎,增生性骨膜炎
骨膜炎,脚外侧疼
骨膜炎,弥漫性骨膜增厚
骨膜炎,伸臂握手疼痛
骨膜炎,踝部凹陷性水肿
骨膜炎,腕关节结节样的突起
骨膜炎,骨气臌
肺纤维化,紫绀
肺纤维化,气急
肺纤维化,湿啰音
肺纤维化,驻站医
肺纤维化,呼吸衰竭
肺纤维化,低氧血症
心律失常,胸闷
心律失常,头晕
心律失常,心悸
心律失常,胸痛伴胸闷、心悸
心律失常,心悸伴乏力、面色苍白
心律失常,无法数清每分钟...
心律失常,饭后心跳加快
心律失常,面色青灰
心律失常,心律失常
大咯血,咯血伴发热
大咯血,呼吸音减弱
大咯血,咯血
大咯血,咯血伴胸痛
大咯血,咯血伴黄疸
大咯血,咯血伴呛咳
大咯血,咯血伴有皮肤粘膜出血
咳嗽,发作性咳嗽
消化不良,恶心
消化不良,上腹部疼痛
消化不良,食欲下降
消化不良,便秘
消化不良,嗳气
消化不良,粪便带绿色
消化不良,胃肠道胀气
消化不良,嗳气时有腐败鸡...
头痛,紧张性头痛
头痛,间歇性头痛
头痛,眩晕
头痛,重压感、紧箍感...
